,0
0,0
1,522
2,160
3,-1
4,-1
5,-1
6,647
7,493
8,-1
9,175
10,113
11,315
12,575
13,195
14,316
15,-1
16,65
17,113
18,400
19,15
20,-1
21,533
22,498
23,166
24,240
25,647
26,562
27,113
28,-1
29,618
30,-1
31,45
32,-1
33,-1
34,198
35,-1
36,-1
37,-1
38,-1
39,466
40,-1
41,118
42,-1
43,-1
44,-1
45,378
46,12
47,113
48,12
49,466
50,303
51,-1
52,431
53,402
54,158
55,286
56,-1
57,-1
58,-1
59,196
60,-1
61,210
62,447
63,78
64,543
65,173
66,-1
67,-1
68,-1
69,198
70,606
71,329
72,559
73,-1
74,-1
75,-1
76,-1
77,-1
78,679
79,113
80,447
81,-1
82,377
83,209
84,-1
85,113
86,-1
87,210
88,665
89,77
90,-1
91,345
92,-1
93,91
94,-1
95,-1
96,276
97,-1
98,-1
99,-1
100,-1
101,-1
102,476
103,572
104,-1
105,587
106,-1
107,574
108,-1
109,-1
110,-1
111,-1
112,431
113,19
114,55
115,475
116,166
117,364
118,-1
119,-1
120,572
121,-1
122,-1
123,412
124,-1
125,460
126,629
127,-1
128,188
129,277
130,13
131,-1
132,652
133,-1
134,223
135,89
136,55
137,46
138,588
139,242
140,-1
141,498
142,466
143,-1
144,143
145,636
146,198
147,218
148,281
149,-1
150,442
151,-1
152,224
153,474
154,595
155,150
156,642
157,481
158,-1
159,423
160,647
161,-1
162,-1
163,111
164,-1
165,-1
166,611
167,251
168,-1
169,637
170,197
171,435
172,164
173,113
174,518
175,-1
176,-1
177,315
178,-1
179,55
180,83
181,-1
182,12
183,281
184,321
185,466
186,396
187,-1
188,234
189,376
190,16
191,-1
192,202
193,203
194,266
195,-1
196,-1
197,537
198,427
199,398
200,393
201,-1
202,67
203,480
204,-1
205,-1
206,-1
207,-1
208,251
209,-1
210,-1
211,276
212,-1
213,22
214,-1
215,10
216,406
217,680
218,542
219,606
220,473
221,637
222,-1
223,-1
224,679
225,295
226,511
227,334
228,-1
229,-1
230,70
231,403
232,3
233,-1
234,218
235,498
236,-1
237,647
238,309
239,659
240,379
241,659
242,-1
243,-1
244,-1
245,-1
246,-1
247,-1
248,491
249,113
250,578
251,113
252,-1
253,64
254,405
255,226
256,491
257,378
258,-1
259,-1
260,563
261,529
262,-1
263,477
264,298
265,93
266,-1
267,-1
268,473
269,407
270,606
271,-1
272,145
273,364
274,236
275,483
276,-1
277,251
278,374
279,617
280,108
281,113
282,447
283,305
284,-1
285,356
286,99
287,262
288,222
289,647
290,268
291,-1
292,525
293,122
294,-1
295,306
296,647
297,33
298,549
299,212
300,300
301,-1
302,-1
303,175
304,431
305,607
306,433
307,143
308,-1
309,16
310,182
311,-1
312,30
313,-1
314,385
315,557
316,12
317,-1
318,360
319,251
320,-1
321,-1
322,-1
323,-1
324,-1
325,-1
326,646
327,420
328,537
329,-1
330,55
331,234
332,233
333,-1
334,174
335,273
336,202
337,216
338,225
339,500
340,321
341,-1
342,24
343,378
344,91
345,362
346,-1
347,494
348,-1
349,-1
350,426
351,667
352,-1
353,-1
354,-1
355,575
356,-1
357,-1
358,-1
359,643
360,401
361,-1
362,333
363,113
364,-1
365,262
366,113
367,64
368,251
369,-1
370,-1
371,360
372,-1
373,218
374,9
375,-1
376,288
377,-1
378,-1
379,-1
380,311
381,-1
382,-1
383,-1
384,302
385,222
386,-1
387,55
388,65
389,321
390,59
391,174
392,-1
393,117
394,117
395,665
396,508
397,-1
398,280
399,-1
400,672
401,475
402,202
403,656
404,631
405,27
406,679
407,378
408,-1
409,139
410,173
411,-1
412,321
413,212
414,657
415,572
416,8
417,-1
418,-1
419,357
420,460
421,306
422,480
423,59
424,214
425,374
426,113
427,-1
428,-1
429,482
430,113
431,415
432,672
433,-1
434,-1
435,362
436,221
437,525
438,672
439,218
440,549
441,488
442,558
443,558
444,-1
445,-1
446,-1
447,-1
448,487
449,-1
450,-1
451,556
452,453
453,1
454,-1
455,-1
456,-1
457,636
458,-1
459,113
460,498
461,-1
462,366
463,-1
464,104
465,-1
466,-1
467,-1
468,393
469,173
470,-1
471,139
472,-1
473,-1
474,561
475,362
476,360
477,572
478,-1
479,373
480,-1
481,417
482,447
483,442
484,-1
485,-1
486,548
487,-1
488,112
489,-1
490,224
491,143
492,234
493,-1
494,173
495,542
496,537
497,-1
498,-1
499,-1
500,-1
501,195
502,354
503,-1
504,262
505,-1
506,330
507,255
508,-1
509,471
510,536
511,113
512,-1
513,289
514,-1
515,364
516,-1
517,453
518,-1
519,-1
520,-1
521,487
522,144
523,-1
524,639
525,-1
526,-1
527,-1
528,-1
529,482
530,-1
531,-1
532,338
533,-1
534,95
535,-1
536,373
537,606
538,453
539,459
540,466
541,-1
542,378
543,-1
544,297
545,113
546,113
547,236
548,-1
549,393
550,-1
551,175
552,-1
553,-1
554,-1
555,-1
556,-1
557,647
558,273
559,-1
560,410
561,307
562,205
563,518
564,309
565,8
566,158
567,243
568,-1
569,485
570,537
571,407
572,679
573,-1
574,170
575,167
576,-1
577,-1
578,558
579,-1
580,312
581,422
582,553
583,151
584,511
585,527
586,305
587,-1
588,-1
589,-1
590,-1
591,575
592,-1
593,511
594,194
595,-1
596,-1
597,-1
598,64
599,473
600,-1
601,615
602,73
603,354
604,-1
605,-1
606,640
607,-1
608,89
609,679
610,-1
611,117
612,647
613,456
614,-1
615,260
616,519
617,572
618,647
619,-1
620,148
621,-1
622,-1
623,236
624,-1
625,-1
626,-1
627,460
628,149
629,-1
630,59
631,236
632,-1
633,-1
634,234
635,438
636,260
637,30
638,466
639,587
640,-1
641,43
642,276
643,466
644,113
645,-1
646,191
647,396
648,-1
649,449
650,567
651,162
652,466
653,-1
654,636
655,630
656,659
657,-1
658,485
659,229
660,-1
661,464
662,307
663,-1
664,-1
665,312
666,628
667,-1
668,247
669,-1
670,635
671,378
672,291
673,-1
674,113
675,609
676,426
677,527
678,623
679,-1
680,557
681,422
682,-1
683,679
684,447
685,-1
686,483
687,-1
688,-1
689,-1
690,363
691,-1
692,350
693,-1
694,378
695,259
696,266
697,-1
698,-1
699,258
700,562
701,20
702,449
703,-1
704,-1
705,0
706,-1
707,291
708,433
709,113
710,469
711,-1
712,276
713,158
714,-1
715,58
716,359
717,604
718,15
719,65
720,-1
721,148
722,492
723,322
724,178
725,259
726,476
727,-1
728,-1
729,183
730,307
731,570
732,-1
733,-1
734,113
735,-1
736,48
737,144
738,471
739,-1
740,90
741,-1
742,606
743,3
744,50
745,221
746,557
747,415
748,-1
749,113
750,436
751,-1
752,237
753,622
754,-1
755,486
756,334
757,-1
758,515
759,-1
760,-1
761,-1
762,209
763,-1
764,-1
765,-1
766,-1
767,374
768,-1
769,361
770,169
771,315
772,407
773,-1
774,471
775,236
776,-1
777,172
778,25
779,570
780,-1
781,594
782,186
783,-1
784,568
785,-1
786,305
787,-1
788,-1
789,80
790,172
791,-1
792,315
793,330
794,378
795,-1
796,113
797,78
798,580
799,-1
800,638
801,-1
802,640
803,-1
804,-1
805,537
806,397
807,-1
808,12
809,447
810,458
811,483
812,211
813,-1
814,-1
815,-1
816,635
817,-1
818,-1
819,269
820,83
821,-1
822,-1
823,113
824,449
825,34
826,-1
827,-1
828,-1
829,582
830,-1
831,-1
832,537
833,678
834,652
835,399
836,549
837,-1
838,389
839,-1
840,-1
841,-1
842,604
843,449
844,-1
845,-1
846,431
847,-1
848,223
849,102
850,349
851,64
852,208
853,396
854,-1
855,-1
856,180
857,389
858,222
859,187
860,-1
861,-1
862,321
863,624
864,659
865,-1
866,-1
867,541
868,-1
869,-1
870,362
871,-1
872,398
873,242
874,409
875,-1
876,177
877,314
878,-1
879,630
880,271
881,84
882,122
883,442
884,-1
885,32
886,-1
887,138
888,-1
889,-1
890,420
891,227
892,140
893,541
894,-1
895,-1
896,175
897,-1
898,622
899,339
900,74
901,543
902,158
903,420
904,482
905,-1
906,-1
907,234
908,-1
909,-1
910,377
911,-1
912,-1
913,93
914,-1
915,-1
916,572
917,207
918,-1
919,262
920,394
921,389
922,-1
923,587
924,310
925,21
926,-1
927,673
928,543
929,-1
930,595
931,348
932,-1
933,-1
934,-1
935,-1
936,-1
937,476
938,-1
939,-1
940,324
941,593
942,407
943,255
944,244
945,614
946,-1
947,-1
948,144
949,290
950,647
951,385
952,280
953,647
954,-1
955,-1
956,-1
957,134
958,198
959,45
960,-1
961,-1
962,-1
963,91
964,638
965,276
966,106
967,196
968,-1
969,113
970,400
971,547
972,113
973,34
974,497
975,482
976,322
977,23
978,-1
979,-1
980,223
981,-1
982,24
983,145
984,-1
985,-1
986,317
987,12
988,-1
989,295
990,-1
991,511
992,-1
993,-1
994,-1
995,234
996,399
997,471
998,153
999,208
1000,-1
1001,549
1002,499
1003,-1
1004,653
1005,-1
1006,283
1007,647
1008,-1
1009,575
1010,-1
1011,-1
1012,-1
1013,-1
1014,-1
1015,373
1016,464
1017,262
1018,193
1019,647
1020,-1
1021,-1
1022,485
1023,197
1024,-1
1025,-1
1026,-1
1027,-1
1028,0
1029,225
1030,113
1031,-1
1032,222
1033,626
1034,236
1035,224
1036,195
1037,374
1038,70
1039,-1
1040,577
1041,-1
1042,113
1043,69
1044,-1
1045,510
1046,44
1047,-1
1048,279
1049,113
1050,224
1051,-1
1052,511
1053,-1
1054,286
1055,313
1056,84
1057,-1
1058,-1
1059,399
1060,447
1061,38
1062,575
1063,-1
1064,392
1065,303
1066,291
1067,19
1068,-1
1069,-1
1070,40
1071,479
1072,-1
1073,344
1074,398
1075,456
1076,-1
1077,-1
1078,-1
1079,113
1080,449
1081,-1
1082,210
1083,-1
1084,419
1085,-1
1086,603
1087,-1
1088,-1
